#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B2879B
#Date Time: 2025-05-14 14:28:19.303
#Trace: Trace 2
#Start: 0 Hz
#Stop: 10000 Hz
#BINs: 4097
#Rate: 20000 Hz
#Samples: 8192
#Channel: C2
#Type: Sample
#Window: Flat Top
#Channel: C1
#Range: 5.52156 V
#Offset: 0.00020543 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.53409 V
#Offset: 2.151e-05 V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 2.8 kHz
#Period: 357.1428571 us
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -5 V

Frequency (Hz),Trace 2 (dBṼ),Phase (deg)
0,-85.23880470969013,0
2.44140625,-85.46136742630125,3.3603532072037905
4.8828125,-83.63652282482087,8.996632773129205
7.32421875,-82.15915547138036,8.010080782282508
9.765625,-83.9286993207769,7.65062348361502
12.20703125,-86.16839820020652,11.589323444230452
14.6484375,-87.97906013077358,9.603971564393031
17.08984375,-93.75067070680265,0.3430677286145137
19.53125,-96.05477847308538,12.37261244241704
21.97265625,-92.06493295158225,9.080190186721824
24.4140625,-94.81562195764627,0.20833656014396043
26.85546875,-101.32494153544074,143.50457990698303
29.296875,-92.82770030320418,95.22625341328497
31.73828125,-88.71461648386814,79.3964812739502
34.1796875,-87.52436450302285,68.49074381977526
36.62109375,-88.48503631860054,53.55953219144483
39.0625,-90.42868201606062,9.561852781037425
41.50390625,-88.25418375671318,165.11778774373363
43.9453125,-87.79726238707028,167.93176352102444
46.38671875,-89.50200448255755,168.3411561494948
48.828125,-91.2883677134268,173.44634365854313
51.26953125,-95.28937377239023,174.86829283830747
53.7109375,-96.02960150269887,114.9878919688661
56.15234375,-91.54521240429162,110.47026572199199
58.59375,-97.02208115916915,110.52626634668822
61.03515625,-96.7720770267597,135.7212587434645
63.4765625,-87.35858258435408,121.77103218342722
65.91796875,-84.02210799159407,124.9877499246019
68.359375,-84.49347604435225,138.4090720967226
70.80078125,-87.47297322721332,157.6039274667137
73.2421875,-91.20216669419867,22.83473298675058
75.68359375,-88.00217515036813,71.79993439089405
78.125,-87.07537098489922,89.6274453766437
80.56640625,-87.06633777379653,105.80697076373234
83.0078125,-86.35222261235982,106.01931954176698
85.44921875,-86.95882311191609,101.85181386111563
87.890625,-87.69145049446188,93.39019470895094
90.33203125,-87.75060903614141,79.82921477363485
92.7734375,-89.07299489535207,78.7077872849524
95.21484375,-95.94406908399164,80.72000722510735
97.65625,-96.16398410400342,58.130397487522764
100.09765625,-87.3178120875742,54.72279738153883
102.5390625,-85.5252977424731,47.84860393551802
104.98046875,-86.12439927333868,30.41456541885951
107.421875,-87.43300481482507,1.6881405973738624
109.86328125,-89.5283485471137,155.68837326133092
112.3046875,-98.58044623183154,110.84923486652863
114.74609375,-89.63450506121234,170.81611443631402
117.1875,-83.32623167579548,152.4761220967127
119.62890625,-81.57180225226239,146.51820897402092
122.0703125,-82.96795170705586,149.66610471062577
124.51171875,-87.28313583932861,159.28366770387166
126.953125,-95.05646034829459,6.250801144018689
129.39453125,-100.18312532513171,84.4663781008982
131.8359375,-104.55972183054749,128.4840886276933
134.27734375,-96.31746729151158,71.25035835094688
136.71875,-89.1872596009648,67.89927260506589
139.16015625,-87.91976771633615,64.45773188488461
141.6015625,-90.47286714205637,60.51183199517797
144.04296875,-94.70492003149117,31.90221158388338
146.484375,-97.2665439588274,177.83349750010697
148.92578125,-100.59148559439936,148.79421496392976
151.3671875,-98.74184165747614,4.681456211925519
153.80859375,-93.26316758800031,39.09680749674953
156.25,-91.52058815390284,42.37812080345443
158.69140625,-91.63113804169272,34.79775156789577
161.1328125,-94.90748075314114,41.58175588928271
163.57421875,-97.59865413774298,81.64333184976452
166.015625,-92.13204326455613,125.80147962073505
168.45703125,-85.42243226603718,135.7555137702071
170.8984375,-82.09559189403473,131.29619813324717
173.33984375,-81.85740054547365,124.71206489123445
175.78125,-82.7635528238145,111.30083816078279
178.22265625,-82.85801049048243,95.7002312520382
180.6640625,-84.61664776121066,89.63857042753084
183.10546875,-90.61764467845205,83.68735646599649
185.546875,-101.4104572854285,54.55350093962334
187.98828125,-101.88860623959306,75.35511655825158
190.4296875,-92.97487766541592,101.49274444212082
192.87109375,-88.56840446188184,136.08637044384452
195.3125,-87.27631276225804,147.413940275443
197.75390625,-86.29784263335885,146.2414055012037
200.1953125,-86.18453736758474,144.64894186903064
202.63671875,-91.15617959910033,147.15666736485804
205.078125,-112.31505027599607,10.172253408544917
207.51953125,-91.39674068241364,164.49849736036822
209.9609375,-88.2712989728731,150.75324632942574
212.40234375,-90.0533189998268,135.29478636820787
214.84375,-93.14562691475916,117.35006509009445
217.28515625,-90.39296697955666,90.72869231735655
219.7265625,-88.71755255688478,78.48559242808679
222.16796875,-90.89984073601597,87.87957078940138
224.609375,-94.08920582728149,114.86823547143332
227.05078125,-94.2951475999624,176.29072178703538
229.4921875,-88.65346383634188,22.62488850133331
231.93359375,-88.21970748281001,29.731136911412623
234.375,-88.46390305817395,25.49057419649325
236.81640625,-87.82217501208908,21.341413922774493
239.2578125,-90.30018925200068,42.112211461620696
241.69921875,-91.51958494222008,76.37464789118371
244.140625,-90.17892521386692,101.71714330945319
246.58203125,-86.72842621580193,141.4042585114123
249.0234375,-82.8088188852662,171.31014066460622
251.46484375,-81.72604106684476,5.345596310917709
253.90625,-82.41067478893291,10.870760368396054
256.34765625,-83.92537584976859,13.307769166456593
258.7890625,-90.21587610009668,19.509185415438065
261.23046875,-105.14192766580392,36.39004389993122
263.671875,-92.83044305121936,49.567767709086986
266.11328125,-90.78155058369946,51.07787337882627
268.5546875,-88.18618916823652,39.14030887460144
270.99609375,-87.00728074583223,26.205846636605283
273.4375,-89.19545739229204,14.915094994714567
275.87890625,-92.55532741316544,4.898933520532638
278.3203125,-95.16051350843821,16.520438097999467
280.76171875,-92.61347825083229,91.1881602872218
283.203125,-85.97241589545986,109.34593409314616
285.64453125,-83.8530316568833,104.59457361937903
288.0859375,-84.22507162546148,100.4747973085492
290.52734375,-86.7202254605627,100.2618244175461
292.96875,-91.67758473305958,86.23694964187185
295.41015625,-95.15489369250415,11.793893541333107
297.8515625,-90.18184263281027,144.464338041756
300.29296875,-88.99332860811165,131.33198925533605
302.734375,-90.46476828008652,108.29053897342772
305.17578125,-89.87309511160691,54.922648970455974
307.6171875,-85.7978809424325,18.085405600154758
310.05859375,-83.29327306333803,5.6141011751286705
312.5,-84.05738368792937,0.019708696959465647
314.94140625,-88.20385618104977,177.68306127442528
317.3828125,-91.62860030442899,176.44883815352998
319.82421875,-92.33760730460483,2.270284901985803
322.265625,-93.15192220089011,21.66732565489614
324.70703125,-92.41201797029127,16.77027797243069
327.1484375,-93.99567854417106,35.13838038450233
329.58984375,-89.91965461777042,111.14613830916524
332.03125,-84.6781032038879,139.5018626036586
334.47265625,-83.08085036702268,150.04725850644883
336.9140625,-84.77407243383566,157.59839087615097
339.35546875,-86.76964605184723,16.054067020053136
341.796875,-84.82446109446568,53.47185748057574
344.23828125,-83.30001135933352,68.11696978323097
346.6796875,-81.9599870969231,61.18811995811883
349.12109375,-83.09446209814672,45.46540319052982
351.5625,-86.68465349220006,17.360193057553857
