#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B2879B
#Date Time: 2025-05-14 10:25:16.045
#Trace: Trace 1
#Start: 0 Hz
#Stop: 10000 Hz
#BINs: 4097
#Rate: 20000 Hz
#Samples: 8192
#Channel: C1
#Type: Sample
#Window: Flat Top
#Trace: Trace 2
#Start: 0 Hz
#Stop: 10000 Hz
#BINs: 4097
#Rate: 20000 Hz
#Samples: 8192
#Channel: C2
#Type: Sample
#Window: Flat Top
#Channel: C1
#Range: 5.52156 V
#Offset: 0.00020543 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.53409 V
#Offset: 2.151e-05 V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 2.8 kHz
#Period: 357.1428571 us
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Frequency (Hz),Trace 1 (dBṼ),Phase (deg),Trace 2 (dBṼ),Phase (deg)
0,-52.39149061382217,0,-17.61712021443988,0
2.44140625,-52.67562221293079,0.00885741699026913,-17.925805957506732,0.026593388736692786
4.8828125,-56.184332957255585,179.7505905702699,-21.42531880596634,0.05649240644103177
7.32421875,-66.86517579913122,178.2106557144524,-31.86332154301015,0.12604523676563242
9.765625,-91.23531593930386,5.697417809314552,-54.71584110483299,1.500944319206576
12.20703125,-93.33209294734681,90.75037200848313,-84.79923664936112,109.9394365077884
14.6484375,-89.06726935042789,121.56165660726391,-83.49169138890329,137.32497301930968
17.08984375,-84.00544900775154,120.14317578169681,-82.339434707756,142.99355180916743
19.53125,-83.94578749715583,113.5311844416491,-83.6028085368493,135.42523006593822
21.97265625,-86.66396062934695,116.46741968941075,-82.92305927716077,129.99063879472982
24.4140625,-88.64751993600463,103.23699415644323,-81.80310775021579,119.66183889166378
26.85546875,-94.6465138250929,12.094331620219169,-85.08372303436246,102.32728604490555
29.296875,-86.30242298372897,119.27589601422835,-93.71289385427363,91.22003200173688
31.73828125,-81.93142600253908,101.82337847799495,-94.08487244956612,110.56375469726514
34.1796875,-78.64552343784771,93.51134500056735,-83.56934302278674,106.44928697283478
36.62109375,-78.4703997609937,80.16304185971273,-83.44978701410608,90.59112179435428
39.0625,-82.02875900724365,63.772502447181914,-89.97547086468256,49.68839948529984
41.50390625,-89.20124654175075,26.876282238837593,-90.08547008745602,136.23824043169608
43.9453125,-87.39099250782522,121.80673176918987,-85.60639025783206,108.39162491866972
46.38671875,-84.27841302203312,72.64206309527175,-88.52437135207825,79.82777969703884
48.828125,-84.23940539592984,29.131564376668354,-92.69982564890228,154.82115498597418
51.26953125,-87.82713654190704,156.78287890997728,-86.44384513667248,95.47932559885108
53.7109375,-86.03583089342754,92.87157214648026,-84.07619774955172,73.11101410370283
56.15234375,-81.30487143544913,63.52892013794395,-84.06741403702944,46.68557456884641
58.59375,-78.65054513331194,54.645953206034584,-83.90005707592354,14.859669377286028
61.03515625,-78.95146551207256,59.18044947690578,-84.14160177385227,4.225178845443036
63.4765625,-79.41822490996208,68.2471307217647,-82.5725772902218,24.629226357020357
65.91796875,-78.26841353428874,65.60826749976121,-78.55014720394311,35.76566047631693
68.359375,-77.92998649769186,53.13666123533597,-77.30372841435371,34.0803290152991
70.80078125,-78.63152150412309,41.52256204811516,-78.52702951901307,35.71863736740289
73.2421875,-78.64982011466768,36.37025188622177,-80.2848288774487,31.300460888870482
75.68359375,-80.83070844458179,24.357806563017416,-84.08765048044918,177.63689592881613
78.125,-86.79796398934272,0.10565399753614829,-87.53441305758955,129.27939714228185
80.56640625,-87.49683744172634,175.6389209260699,-87.64608726110312,141.859582410485
83.0078125,-83.87023868773157,164.9070620716168,-85.06140983144276,144.76803631558084
85.44921875,-84.45164194611449,152.12082819629694,-87.91533943233631,125.85181742888079
87.890625,-89.90245595722,148.53117892499094,-96.26733991061946,93.287935064404
90.33203125,-97.98613672168074,65.63872926017578,-94.62013946934165,3.203045348314664
92.7734375,-87.59541279894387,20.68390682980796,-91.48671973414335,178.15633448410966
95.21484375,-82.74449463036332,22.42641268955292,-89.90873238615116,29.726324975200022
97.65625,-82.18048215517416,24.055938571939542,-89.48013386021289,41.018573829632444
100.09765625,-86.99133750816586,28.0184399405779,-94.76730315531191,72.62996403118741
102.5390625,-92.71882164768932,46.424540890073125,-91.44548012276205,96.28611831027747
